ax,ay,az,gx,gy,gz,mx,my,mz
0.01,-1.01,-0.04,-1.89,0.06,-0.18,-151.00,-19.00,12.00
0.01,-1.01,-0.04,-1.59,0.12,-0.18,-149.00,-23.00,15.00
0.01,-1.01,-0.03,-2.14,0.12,-0.24,-149.00,-23.00,12.00
0.01,-1.01,-0.03,-0.12,0.18,-0.24,-149.00,-21.00,14.00
0.01,-1.01,-0.04,-1.28,0.18,-0.24,-146.00,-23.00,10.00
0.01,-1.01,-0.04,0.43,0.12,-0.06,-147.00,-22.00,6.00
0.01,-1.01,-0.04,1.65,0.12,-0.24,-150.00,-22.00,15.00
0.01,-1.01,-0.04,-0.79,0.24,-0.18,-150.00,-22.00,7.00
0.01,-1.01,-0.04,-0.43,0.12,-0.12,-149.00,-23.00,16.00
0.01,-1.01,-0.04,-0.61,0.24,-0.24,-150.00,-22.00,11.00
0.01,-1.01,-0.04,0.55,0.24,-0.18,-149.00,-24.00,12.00
0.01,-1.01,-0.04,1.65,0.24,-0.18,-153.00,-23.00,10.00
0.01,-1.01,-0.04,1.04,0.18,-0.18,-150.00,-22.00,9.00
0.01,-1.01,-0.04,-1.65,0.24,-0.24,-150.00,-22.00,7.00
0.01,-1.01,-0.04,-1.95,0.12,-0.24,-149.00,-22.00,8.00
0.01,-1.01,-0.04,-1.89,0.24,-0.12,-149.00,-22.00,9.00
0.01,-1.01,-0.04,-0.61,0.18,-0.18,-151.00,-22.00,11.00
0.01,-1.01,-0.04,0.31,0.24,-0.12,-149.00,-22.00,11.00
0.01,-1.01,-0.04,0.55,0.18,-0.18,-150.00,-23.00,8.00
0.01,-1.01,-0.04,0.92,0.24,-0.24,-150.00,-22.00,11.00
0.01,-1.01,-0.04,-1.22,0.12,-0.18,-149.00,-22.00,12.00
0.01,-1.01,-0.04,-0.98,0.12,-0.18,-150.00,-22.00,11.00
0.01,-1.01,-0.04,1.34,0.18,-0.24,-150.00,-23.00,10.00
0.01,-1.01,-0.04,0.92,0.12,-0.24,-150.00,-23.00,10.00
0.01,-1.01,-0.04,-0.06,0.12,-0.18,-149.00,-23.00,11.00
0.01,-1.01,-0.04,-0.12,0.12,-0.24,-149.00,-21.00,11.00
0.01,-1.01,-0.04,-3.48,0.18,-0.18,-150.00,-21.00,14.00
0.01,-1.01,-0.03,-3.36,0.18,-0.18,-149.00,-22.00,10.00
0.01,-1.01,-0.04,0.61,0.12,-0.18,-150.00,-22.00,9.00
0.01,-1.01,-0.04,0.31,0.18,-0.18,-150.00,-22.00,10.00
0.01,-1.01,-0.04,2.75,0.18,-0.18,-149.00,-21.00,11.00
0.01,-1.01,-0.04,2.99,0.18,-0.18,-150.00,-21.00,12.00
0.01,-1.01,-0.04,-0.49,0.12,-0.18,-151.00,-23.00,8.00
0.01,-1.01,-0.04,1.65,0.18,-0.18,-150.00,-23.00,7.00
0.01,-1.01,-0.03,-4.94,0.12,-0.24,-150.00,-23.00,9.00
0.01,-1.01,-0.03,1.46,0.18,-0.18,-149.00,-23.00,4.00
0.01,-1.01,-0.04,0.43,0.12,-0.24,-150.00,-23.00,6.00
0.01,-1.01,-0.04,-1.83,0.12,-0.18,-148.00,-21.00,10.00
0.01,-1.01,-0.04,-0.92,0.12,-0.18,-149.00,-25.00,10.00
0.01,-1.01,-0.04,0.67,0.18,-0.12,-149.00,-23.00,15.00
0.01,-1.01,-0.04,2.08,0.18,-0.18,-150.00,-23.00,7.00
0.01,-1.01,-0.04,1.28,0.12,-0.18,-148.00,-20.00,9.00
0.01,-1.01,-0.04,0.43,0.12,-0.24,-149.00,-22.00,14.00
0.01,-1.01,-0.04,1.28,0.18,-0.12,-150.00,-22.00,13.00
0.01,-1.01,-0.04,1.10,0.18,-0.18,-149.00,-21.00,11.00
0.01,-1.01,-0.04,0.12,0.18,-0.12,-150.00,-21.00,7.00
0.01,-1.01,-0.04,-2.75,0.12,-0.24,-147.00,-22.00,10.00
0.01,-1.01,-0.04,-0.92,0.12,-0.24,-149.00,-22.00,5.00
0.01,-1.01,-0.04,0.12,0.12,-0.24,-149.00,-21.00,12.00
0.01,-1.01,-0.04,-0.98,0.12,-0.18,-151.00,-22.00,9.00
0.01,-1.01,-0.04,-1.34,0.12,-0.24,-149.00,-22.00,9.00
0.01,-1.01,-0.04,0.61,0.18,-0.18,-150.00,-21.00,14.00
0.01,-1.01,-0.04,1.16,0.12,-0.18,-151.00,-23.00,11.00
0.01,-1.01,-0.05,1.95,0.18,-0.18,-152.00,-23.00,12.00
0.01,-1.01,-0.05,-0.12,0.18,-0.12,-147.00,-25.00,14.00
0.01,-1.01,-0.05,-0.85,0.18,-0.18,-146.00,-22.00,6.00
0.01,-1.01,-0.05,-0.92,0.24,-0.24,-150.00,-23.00,10.00
0.01,-1.01,-0.04,-0.31,0.12,-0.18,-147.00,-23.00,8.00
0.01,-1.01,-0.05,2.26,0.18,-0.18,-149.00,-24.00,12.00
0.01,-1.01,-0.04,1.46,0.24,-0.18,-150.00,-22.00,7.00
0.01,-1.01,-0.05,1.71,0.18,-0.12,-151.00,-22.00,12.00
0.01,-1.01,-0.05,-1.10,0.18,-0.18,-149.00,-21.00,7.00
0.01,-1.01,-0.05,-1.34,0.12,-0.18,-149.00,-23.00,13.00
0.01,-1.01,-0.05,-1.59,0.12,-0.18,-149.00,-21.00,9.00
0.01,-1.01,-0.04,-2.08,0.18,-0.18,-149.00,-21.00,9.00
0.01,-1.01,-0.04,1.40,0.24,-0.18,-148.00,-23.00,12.00
0.01,-1.01,-0.04,-0.06,0.24,-0.24,-151.00,-22.00,9.00
0.01,-1.01,-0.04,0.73,0.18,-0.24,-149.00,-23.00,8.00
0.01,-1.01,-0.05,1.04,0.24,-0.24,-149.00,-25.00,10.00
0.01,-1.01,-0.05,-1.53,0.24,-0.24,-148.00,-23.00,10.00
0.01,-1.01,-0.05,-0.73,0.12,-0.24,-149.00,-22.00,11.00
0.01,-1.01,-0.05,-2.01,0.18,-0.24,-149.00,-25.00,8.00
0.01,-1.01,-0.04,-1.46,0.18,-0.12,-149.00,-22.00,12.00
0.01,-1.01,-0.04,-1.16,0.18,-0.18,-149.00,-19.00,8.00
0.01,-1.01,-0.05,-0.06,0.24,-0.18,-149.00,-23.00,8.00
0.01,-1.01,-0.05,0.00,0.18,-0.31,-147.00,-22.00,12.00
0.01,-1.01,-0.05,-2.20,0.12,-0.12,-149.00,-23.00,13.00
0.01,-1.01,-0.05,-2.01,0.12,-0.24,-149.00,-23.00,8.00
0.01,-1.01,-0.04,-1.22,0.18,-0.18,-149.00,-21.00,10.00
0.01,-1.01,-0.05,0.67,0.18,-0.12,-149.00,-22.00,8.00
0.01,-1.01,-0.05,0.49,0.12,-0.12,-149.00,-21.00,10.00
0.01,-1.01,-0.05,0.85,0.24,-0.24,-150.00,-21.00,10.00
0.01,-1.01,-0.05,-0.85,0.18,-0.24,-150.00,-21.00,9.00
0.01,-1.01,-0.05,-1.89,0.12,-0.24,-148.00,-23.00,6.00
0.01,-1.01,-0.05,-2.20,0.12,-0.12,-149.00,-21.00,9.00
0.01,-1.01,-0.04,-3.05,0.18,-0.24,-149.00,-21.00,7.00
0.01,-1.01,-0.04,-0.79,0.18,-0.24,-149.00,-22.00,12.00
0.01,-1.01,-0.05,1.04,0.24,-0.18,-151.00,-22.00,9.00
0.01,-1.01,-0.05,1.65,0.24,-0.12,-150.00,-23.00,9.00
0.01,-1.01,-0.05,0.73,0.12,-0.18,-149.00,-21.00,7.00
0.01,-1.01,-0.05,-0.98,0.18,-0.18,-150.00,-22.00,9.00
0.01,-1.01,-0.05,-0.12,0.18,-0.18,-149.00,-22.00,12.00
0.01,-1.01,-0.05,-0.92,0.18,-0.18,-148.00,-23.00,12.00
0.01,-1.01,-0.04,-1.34,0.18,-0.24,-151.00,-22.00,13.00
0.01,-1.01,-0.04,0.49,0.18,-0.24,-148.00,-22.00,8.00
0.01,-1.01,-0.05,-0.06,0.18,-0.18,-148.00,-23.00,9.00
0.01,-1.01,-0.05,0.43,0.18,-0.18,-149.00,-23.00,12.00
0.01,-1.01,-0.05,2.44,0.24,-0.24,-149.00,-23.00,11.00
0.01,-1.01,-0.05,0.61,0.18,-0.12,-150.00,-23.00,7.00
0.01,-1.01,-0.05,0.61,0.24,-0.24,-148.00,-22.00,12.00
0.01,-1.01,-0.05,-1.34,0.12,-0.18,-150.00,-22.00,9.00
0.01,-1.01,-0.05,-0.73,0.18,-0.18,-149.00,-25.00,14.00
0.01,-1.01,-0.05,1.16,0.18,-0.24,-150.00,-23.00,15.00
0.01,-1.01,-0.05,-2.32,0.18,-0.24,-149.00,-23.00,11.00
0.01,-1.01,-0.05,-1.34,0.12,-0.18,-147.00,-22.00,8.00
0.01,-1.01,-0.05,-0.31,0.18,-0.18,-149.00,-22.00,11.00
0.01,-1.01,-0.05,1.16,0.12,-0.12,-149.00,-25.00,10.00
0.01,-1.01,-0.05,-1.59,0.18,-0.18,-151.00,-22.00,10.00
0.01,-1.01,-0.05,0.24,0.06,-0.24,-151.00,-22.00,11.00
0.01,-1.01,-0.05,1.16,0.18,-0.12,-147.00,-23.00,8.00
0.01,-1.01,-0.05,0.73,0.24,-0.18,-147.00,-21.00,9.00
0.01,-1.01,-0.05,-0.67,0.12,-0.18,-151.00,-23.00,7.00
0.01,-1.01,-0.05,-2.26,0.12,-0.18,-150.00,-22.00,10.00
0.01,-1.01,-0.05,-1.28,0.12,-0.18,-151.00,-23.00,7.00
0.01,-1.01,-0.05,-0.67,0.18,-0.18,-149.00,-22.00,8.00
0.01,-1.01,-0.05,-0.61,0.24,-0.18,-149.00,-22.00,10.00
0.01,-1.01,-0.05,0.18,0.24,-0.12,-149.00,-24.00,8.00
0.01,-1.01,-0.05,2.08,0.18,-0.12,-152.00,-22.00,13.00
0.01,-1.01,-0.05,-0.06,0.12,-0.18,-149.00,-22.00,7.00
0.01,-1.01,-0.05,-0.61,0.18,-0.18,-149.00,-22.00,5.00
0.01,-1.01,-0.05,1.34,0.18,-0.18,-151.00,-22.00,8.00
0.01,-1.01,-0.05,-0.12,0.18,-0.18,-151.00,-22.00,7.00
0.01,-1.01,-0.05,-1.22,0.12,-0.12,-149.00,-22.00,12.00
0.01,-1.01,-0.05,0.79,0.18,-0.24,-149.00,-22.00,12.00
0.01,-1.01,-0.04,-0.98,0.12,-0.18,-148.00,-22.00,14.00
0.01,-1.01,-0.04,0.79,0.18,-0.18,-149.00,-22.00,13.00
0.01,-1.01,-0.05,1.95,0.18,-0.12,-149.00,-22.00,12.00
0.01,-1.01,-0.05,-1.40,0.18,-0.31,-150.00,-23.00,10.00
0.01,-1.01,-0.05,-0.37,0.24,-0.18,-147.00,-23.00,10.00
0.01,-1.01,-0.05,-1.71,0.18,-0.24,-147.00,-23.00,12.00
0.01,-1.01,-0.04,-0.85,0.18,-0.18,-148.00,-22.00,9.00
0.01,-1.01,-0.04,-1.77,0.12,-0.24,-149.00,-22.00,10.00
0.01,-1.01,-0.04,-0.67,0.18,-0.24,-149.00,-24.00,8.00
0.01,-1.01,-0.04,1.65,0.12,-0.18,-149.00,-22.00,11.00
0.01,-1.01,-0.04,0.61,0.18,-0.12,-149.00,-22.00,13.00
0.01,-1.01,-0.04,-0.31,0.18,-0.18,-148.00,-21.00,13.00
0.01,-1.01,-0.05,-1.53,0.12,-0.24,-149.00,-21.00,8.00
0.01,-1.01,-0.04,-4.09,0.18,-0.18,-150.00,-21.00,10.00
0.01,-1.01,-0.04,-1.89,0.12,-0.12,-147.00,-24.00,10.00
0.01,-1.01,-0.04,-2.01,0.12,-0.24,-147.00,-25.00,8.00
0.01,-1.01,-0.04,0.12,0.24,-0.24,-149.00,-22.00,9.00
0.01,-1.01,-0.04,0.73,0.18,-0.18,-149.00,-22.00,9.00
0.01,-1.01,-0.04,-0.61,0.12,-0.24,-148.00,-22.00,12.00
0.01,-1.01,-0.05,1.10,0.12,-0.24,-151.00,-23.00,11.00
0.01,-1.01,-0.05,-0.24,0.18,-0.18,-151.00,-23.00,10.00
0.01,-1.01,-0.04,-0.18,0.18,-0.24,-149.00,-21.00,12.00
0.01,-1.01,-0.05,0.55,0.18,-0.18,-149.00,-23.00,9.00
0.01,-1.01,-0.05,0.79,0.18,-0.12,-148.00,-23.00,11.00
0.01,-1.01,-0.05,0.49,0.18,-0.24,-151.00,-23.00,9.00
0.01,-1.01,-0.05,-0.98,0.18,-0.12,-148.00,-21.00,5.00
0.01,-1.01,-0.05,-0.98,0.18,-0.18,-149.00,-23.00,10.00
0.01,-1.01,-0.04,-0.31,0.18,-0.18,-147.00,-22.00,6.00
0.01,-1.01,-0.05,0.98,0.12,-0.12,-149.00,-22.00,12.00
0.01,-1.01,-0.05,-0.43,0.18,-0.18,-148.00,-23.00,10.00
0.01,-1.01,-0.05,0.98,0.18,-0.18,-150.00,-22.00,9.00
0.01,-1.00,-0.05,-3.36,0.18,-0.24,-149.00,-24.00,14.00
0.01,-1.01,-0.05,2.50,0.24,-0.24,-148.00,-21.00,12.00
0.01,-1.01,-0.05,-1.77,0.18,-0.18,-148.00,-23.00,11.00
0.01,-1.01,-0.04,-3.54,0.06,-0.31,-150.00,-22.00,8.00
0.01,-1.01,-0.04,-0.18,0.18,-0.18,-149.00,-25.00,8.00
0.01,-1.01,-0.04,-2.20,0.18,-0.12,-149.00,-23.00,10.00
0.01,-1.01,-0.04,0.31,0.18,-0.18,-150.00,-22.00,8.00
0.01,-1.01,-0.05,1.34,0.18,-0.18,-150.00,-22.00,10.00
0.01,-1.01,-0.05,0.92,0.24,-0.18,-152.00,-23.00,12.00
0.01,-1.01,-0.05,0.92,0.18,-0.12,-151.00,-23.00,15.00
0.01,-1.01,-0.05,0.00,0.06,-0.12,-150.00,-22.00,10.00
0.01,-1.01,-0.05,-0.85,0.18,-0.24,-147.00,-22.00,9.00
0.01,-1.00,-0.05,-1.10,0.12,-0.24,-150.00,-25.00,8.00
0.01,-1.00,-0.05,-1.28,0.12,-0.18,-150.00,-25.00,10.00
0.01,-1.01,-0.05,-0.24,0.12,-0.12,-149.00,-23.00,8.00
0.01,-1.01,-0.05,-1.16,0.12,-0.18,-149.00,-23.00,6.00
0.01,-1.01,-0.05,0.67,0.18,-0.18,-150.00,-21.00,11.00
0.01,-1.01,-0.05,-0.67,0.24,-0.18,-147.00,-24.00,14.00
0.01,-1.01,-0.05,-0.92,0.18,-0.24,-150.00,-23.00,13.00
0.01,-1.01,-0.05,-1.65,0.18,-0.12,-149.00,-22.00,10.00
0.01,-1.01,-0.04,-2.32,0.24,-0.24,-150.00,-22.00,6.00
0.01,-1.01,-0.05,-1.89,0.12,-0.12,-150.00,-24.00,6.00
0.01,-1.01,-0.05,-1.16,0.18,-0.12,-149.00,-24.00,13.00
0.01,-1.01,-0.05,-1.83,0.12,-0.18,-147.00,-23.00,10.00
0.01,-1.01,-0.05,1.77,0.24,-0.12,-148.00,-22.00,14.00
0.01,-1.01,-0.05,0.06,0.18,-0.18,-148.00,-21.00,10.00
0.01,-1.01,-0.05,-0.06,0.06,-0.24,-150.00,-22.00,12.00
0.01,-1.01,-0.05,0.12,0.18,-0.24,-152.00,-22.00,8.00
0.01,-1.01,-0.05,-1.46,0.12,-0.24,-151.00,-22.00,10.00
0.01,-1.01,-0.05,-0.98,0.06,-0.18,-149.00,-21.00,11.00
0.01,-1.01,-0.05,-1.28,0.18,-0.18,-148.00,-24.00,10.00
0.01,-1.01,-0.05,-2.01,0.18,-0.18,-149.00,-23.00,9.00
0.01,-1.01,-0.05,-1.77,0.12,-0.18,-150.00,-24.00,13.00
0.01,-1.01,-0.04,-2.20,0.12,-0.18,-150.00,-23.00,11.00
0.01,-1.01,-0.04,-0.79,0.18,-0.24,-149.00,-22.00,7.00
0.01,-1.01,-0.05,0.12,0.12,-0.18,-148.00,-24.00,14.00
0.01,-1.01,-0.04,1.10,0.18,-0.24,-149.00,-21.00,10.00
0.01,-1.01,-0.04,0.18,0.24,-0.18,-149.00,-24.00,12.00
0.01,-1.01,-0.04,0.31,0.18,-0.24,-150.00,-22.00,12.00
0.01,-1.01,-0.05,0.73,0.12,-0.18,-150.00,-22.00,13.00
0.01,-1.01,-0.04,0.12,0.18,-0.24,-149.00,-21.00,7.00
0.01,-1.01,-0.04,-0.12,0.12,-0.24,-148.00,-22.00,8.00
0.01,-1.01,-0.04,-1.77,0.12,-0.24,-150.00,-22.00,10.00
0.01,-1.01,-0.04,-1.77,0.18,-0.18,-149.00,-22.00,3.00
0.01,-1.01,-0.04,-2.20,0.18,-0.12,-151.00,-23.00,7.00
0.01,-1.01,-0.04,-0.73,0.12,-0.18,-150.00,-21.00,10.00
0.01,-1.01,-0.04,0.73,0.18,-0.18,-152.00,-23.00,9.00
0.01,-1.01,-0.04,0.06,0.18,-0.18,-151.00,-22.00,10.00
0.01,-1.00,-0.04,-0.92,0.18,-0.24,-150.00,-21.00,6.00
0.01,-1.01,-0.04,-0.55,0.24,-0.18,-150.00,-23.00,7.00
0.01,-1.01,-0.04,-0.55,0.12,-0.24,-149.00,-23.00,15.00
0.01,-1.01,-0.04,-0.31,0.12,-0.18,-150.00,-21.00,10.00
0.01,-1.01,-0.04,-0.73,0.18,-0.24,-149.00,-23.00,4.00
0.01,-1.01,-0.04,-0.92,0.12,-0.24,-149.00,-23.00,13.00
0.01,-1.01,-0.04,-0.18,0.18,-0.18,-149.00,-20.00,12.00
0.01,-1.01,-0.04,1.10,0.24,-0.18,-151.00,-21.00,8.00
0.01,-1.01,-0.04,1.10,0.12,-0.18,-150.00,-22.00,10.00
0.01,-1.01,-0.04,0.73,0.18,-0.24,-150.00,-23.00,14.00
0.01,-1.01,-0.04,0.79,0.24,-0.18,-149.00,-22.00,8.00
0.01,-1.01,-0.04,0.37,0.18,-0.24,-149.00,-23.00,13.00
0.01,-1.01,-0.05,-0.43,0.12,-0.12,-151.00,-22.00,16.00
0.01,-1.01,-0.05,-2.20,0.12,-0.18,-151.00,-22.00,11.00
0.01,-1.01,-0.04,-2.26,0.18,-0.24,-149.00,-23.00,9.00
0.01,-1.01,-0.05,-2.50,0.12,-0.18,-151.00,-22.00,14.00
0.01,-1.01,-0.04,-2.26,0.24,-0.24,-149.00,-22.00,10.00
0.01,-1.01,-0.04,-2.38,0.18,-0.18,-148.00,-22.00,10.00
0.01,-1.01,-0.04,-1.40,0.12,-0.12,-149.00,-25.00,11.00
0.01,-1.01,-0.04,-1.89,0.12,-0.06,-149.00,-24.00,13.00
0.01,-1.01,-0.04,-0.85,0.18,-0.18,-150.00,-24.00,6.00
0.01,-1.01,-0.05,-2.99,0.12,-0.18,-150.00,-22.00,7.00
0.01,-1.01,-0.04,-2.08,0.18,-0.18,-150.00,-23.00,9.00
0.01,-1.01,-0.04,0.18,0.18,-0.12,-150.00,-23.00,13.00
0.01,-1.01,-0.04,1.53,0.18,-0.18,-149.00,-22.00,10.00
0.01,-1.01,-0.04,0.67,0.24,-0.24,-151.00,-23.00,6.00
0.01,-1.01,-0.04,-0.92,0.18,-0.12,-148.00,-21.00,11.00
0.01,-1.01,-0.04,0.43,0.18,-0.18,-148.00,-23.00,8.00
0.01,-1.01,-0.04,-0.49,0.18,-0.24,-147.00,-23.00,8.00
0.01,-1.01,-0.04,-1.28,0.12,-0.24,-148.00,-22.00,14.00
0.01,-1.01,-0.04,1.95,0.18,-0.24,-148.00,-20.00,15.00
0.01,-1.01,-0.05,2.56,0.18,-0.24,-149.00,-21.00,16.00
0.01,-1.01,-0.05,2.38,0.18,-0.18,-148.00,-23.00,10.00
0.01,-1.01,-0.05,2.56,0.24,-0.18,-147.00,-23.00,10.00
0.01,-1.01,-0.05,1.22,0.18,-0.24,-150.00,-21.00,11.00
0.01,-1.01,-0.05,2.99,0.18,-0.18,-148.00,-25.00,10.00
0.01,-1.01,-0.05,2.08,0.18,-0.18,-150.00,-21.00,12.00
0.01,-1.01,-0.04,-0.18,0.18,-0.18,-148.00,-22.00,10.00
0.01,-1.01,-0.04,0.85,0.18,-0.24,-149.00,-23.00,11.00
0.01,-1.01,-0.04,-0.06,0.24,-0.18,-150.00,-22.00,10.00
0.01,-1.01,-0.04,1.34,0.24,-0.18,-150.00,-22.00,8.00
0.01,-1.01,-0.04,0.49,0.18,-0.12,-149.00,-22.00,6.00
0.01,-1.01,-0.04,0.85,0.18,-0.18,-152.00,-22.00,6.00
0.01,-1.01,-0.04,2.81,0.18,-0.18,-150.00,-23.00,8.00
0.01,-1.01,-0.04,1.28,0.18,-0.24,-151.00,-23.00,10.00
0.01,-1.01,-0.04,-1.10,0.12,-0.18,-150.00,-24.00,12.00
0.01,-1.01,-0.04,0.67,0.18,-0.18,-150.00,-21.00,13.00
0.01,-1.01,-0.04,0.49,0.12,-0.12,-151.00,-23.00,8.00
0.01,-1.01,-0.04,-1.65,0.18,-0.24,-150.00,-21.00,9.00
0.01,-1.01,-0.04,-1.65,0.12,-0.18,-149.00,-23.00,11.00
0.01,-1.01,-0.04,-2.69,0.12,-0.31,-150.00,-23.00,6.00
0.01,-1.01,-0.04,-3.05,-0.06,-0.24,-149.00,-23.00,14.00
0.01,-1.01,-0.04,-0.79,0.18,-0.24,-150.00,-24.00,13.00
0.01,-1.01,-0.04,-1.77,0.12,-0.24,-149.00,-23.00,6.00
0.01,-1.01,-0.04,-1.71,0.24,-0.24,-150.00,-24.00,12.00
0.01,-1.01,-0.04,1.53,0.31,-0.24,-152.00,-23.00,12.00
0.01,-1.01,-0.04,2.56,0.31,-0.12,-150.00,-23.00,9.00
0.01,-1.01,-0.04,1.34,0.12,-0.18,-150.00,-21.00,12.00
0.01,-1.01,-0.04,1.10,0.24,-0.31,-150.00,-22.00,10.00
0.01,-1.01,-0.04,-1.77,0.18,-0.24,-147.00,-22.00,6.00
0.01,-1.01,-0.04,0.55,0.18,-0.24,-148.00,-24.00,8.00
0.01,-1.01,-0.04,0.37,0.18,-0.18,-149.00,-23.00,10.00
0.01,-1.01,-0.04,-1.53,0.24,-0.12,-149.00,-23.00,13.00
0.01,-1.01,-0.04,-2.69,0.12,-0.24,-149.00,-20.00,7.00
0.01,-1.01,-0.04,10.44,0.24,-0.06,-151.00,-23.00,11.00
0.01,-1.01,-0.05,6.90,0.31,-0.18,-150.00,-24.00,8.00
0.01,-1.01,-0.04,-3.91,0.18,-0.18,-149.00,-23.00,13.00
0.01,-1.01,-0.03,-2.99,0.18,-0.12,-149.00,-21.00,10.00
0.01,-1.01,-0.03,1.53,0.18,-0.12,-149.00,-24.00,8.00
0.01,-1.01,-0.03,-0.43,0.12,-0.18,-150.00,-22.00,9.00
0.01,-1.01,-0.03,2.87,0.31,-0.18,-149.00,-23.00,12.00
0.01,-1.01,-0.04,1.10,0.12,-0.24,-151.00,-22.00,10.00
0.01,-1.01,-0.04,1.34,0.12,-0.18,-149.00,-22.00,9.00
0.01,-1.01,-0.04,0.67,0.18,-0.12,-150.00,-23.00,11.00
0.01,-1.01,-0.04,-0.73,0.18,-0.12,-151.00,-24.00,10.00
0.01,-1.01,-0.04,-2.93,0.12,-0.24,-150.00,-21.00,7.00
0.01,-1.01,-0.04,-1.65,0.18,-0.24,-151.00,-24.00,9.00
0.01,-1.01,-0.04,-0.12,0.18,-0.18,-149.00,-22.00,11.00
0.01,-1.01,-0.04,0.67,0.18,-0.24,-147.00,-22.00,9.00
0.01,-1.01,-0.04,-0.85,0.18,-0.12,-149.00,-22.00,10.00
0.01,-1.01,-0.03,-3.60,0.18,-0.18,-149.00,-23.00,19.00
0.01,-1.01,-0.04,3.48,0.18,-0.12,-149.00,-22.00,8.00
0.01,-1.01,-0.04,2.93,0.18,-0.18,-149.00,-23.00,13.00
0.01,-1.01,-0.04,-0.18,0.12,-0.18,-149.00,-22.00,15.00
0.01,-1.01,-0.04,1.22,0.18,-0.12,-149.00,-22.00,12.00
0.01,-1.01,-0.04,-2.14,0.12,-0.12,-150.00,-23.00,8.00
0.01,-1.01,-0.04,-1.71,0.12,-0.24,-148.00,-23.00,14.00
0.01,-1.01,-0.04,-1.89,0.12,-0.18,-150.00,-23.00,11.00
0.01,-1.01,-0.04,1.28,0.06,-0.18,-148.00,-23.00,8.00
